# The aquarium trade list.  See auctions/aquarium_species.py for the format and the rules.
#
# Everything here is something a club auction actually sells and that FishBase does not cover:
# plants, freshwater invertebrates, live-food cultures, and the cultivars ("strains") of fish
# FishBase does list.  A variety row names its parent in scientific_name and puts the strain in
# variety; the loader links the two, and the parent has to already exist.
#
# There is a second kind of row, at the bottom of the file: a NAMES-ONLY row, for a species
# FishBase already has under a name nobody in the hobby uses.  FishBase files Labidochromis
# caeruleus under "Blue streak hap", so "yellow lab" matched nothing at all.  Write the scientific
# name and the common names, leave family/order/kind/habitat blank, and the loader attaches the
# names to the existing species without creating a second copy of it or touching its taxonomy.
#
# Rules for adding a row:
#   * scientific_name is the currently accepted binomial.  A genus on its own is allowed when the
#     trade genuinely sells at that rank (Bucephalandra, Tylomelania) -- leave the epithet off.
#   * common_names is what people type into a lot name, pipe-separated, lower case.  Include the
#     abbreviations (rcs, mts, bbs): that is what actually gets typed.
#   * Don't add a row to make a search work if the identification is contested.  A wrong species
#     is printed on a label and counted for breeder points; no match is the better answer.
#     "Bristlenose" is the example to keep in mind: everyone sells one, nobody agrees which
#     Ancistrus it is, and so it is deliberately not in this file.
#
scientific_name,variety,common_names,family,order,kind,habitat
Cryptocoryne wendtii,Red,red wendtii|crypt wendtii red,Araceae,Alismatales,plant,fresh
Cryptocoryne wendtii,Tropica,crypt wendtii tropica|tropica crypt,Araceae,Alismatales,plant,fresh
Cryptocoryne parva,,crypt parva|cryptocoryne parva|dwarf crypt,Araceae,Alismatales,plant,fresh
Cryptocoryne lucens,,crypt lucens|cryptocoryne lucens,Araceae,Alismatales,plant,fresh
Cryptocoryne crispatula,,crypt balansae|crypt crispatula|balansae|cryptocoryne crispatula,Araceae,Alismatales,plant,fresh
Cryptocoryne spiralis,,crypt spiralis|cryptocoryne spiralis,Araceae,Alismatales,plant,fresh
Cryptocoryne beckettii,,crypt beckettii|crypt petchii|cryptocoryne beckettii,Araceae,Alismatales,plant,fresh
Cryptocoryne undulata,,crypt undulata|cryptocoryne undulata,Araceae,Alismatales,plant,fresh
Cryptocoryne usteriana,,crypt usteriana|cryptocoryne usteriana,Araceae,Alismatales,plant,fresh
Cryptocoryne cordata,,crypt cordata|crypt blassii|cryptocoryne cordata,Araceae,Alismatales,plant,fresh
Cryptocoryne affinis,,crypt affinis|cryptocoryne affinis,Araceae,Alismatales,plant,fresh
Cryptocoryne albida,,crypt albida|crypt costata|cryptocoryne albida,Araceae,Alismatales,plant,fresh
Cryptocoryne pontederiifolia,,crypt pontederiifolia|cryptocoryne pontederiifolia,Araceae,Alismatales,plant,fresh
Cryptocoryne walkeri,,crypt walkeri|cryptocoryne walkeri|crypt lutea,Araceae,Alismatales,plant,fresh
Echinodorus bleherae,,amazon sword|amazon swords|echinodorus bleherae|sword plant,Alismataceae,Alismatales,plant,fresh
Echinodorus grisebachii,,echinodorus grisebachii|chain sword|narrow leaf amazon sword,Alismataceae,Alismatales,plant,fresh
Echinodorus cordifolius,,radican sword|echinodorus cordifolius|marble queen sword,Alismataceae,Alismatales,plant,fresh
Echinodorus uruguayensis,,uruguay sword|echinodorus uruguayensis,Alismataceae,Alismatales,plant,fresh
Echinodorus parviflorus,,black amazon sword|echinodorus parviflorus|ozelot sword,Alismataceae,Alismatales,plant,fresh
Helanthium tenellum,,pygmy chain sword|dwarf chain sword|helanthium tenellum|echinodorus tenellus,Alismataceae,Alismatales,plant,fresh
Helanthium bolivianum,,chain sword|helanthium bolivianum|quadricostatus,Alismataceae,Alismatales,plant,fresh
Sagittaria subulata,,dwarf sagittaria|dwarf sag|sagittaria subulata|sag,Alismataceae,Alismatales,plant,fresh
Vallisneria americana,,jungle val|vallisneria americana|val|vallisneria,Hydrocharitaceae,Alismatales,plant,fresh
Vallisneria spiralis,,italian val|vallisneria spiralis|straight val,Hydrocharitaceae,Alismatales,plant,fresh
Vallisneria nana,,dwarf val|vallisneria nana|narrow leaf val,Hydrocharitaceae,Alismatales,plant,fresh
Blyxa japonica,,blyxa|blyxa japonica|dwarf rice plant,Hydrocharitaceae,Alismatales,plant,fresh
Blyxa aubertii,,blyxa aubertii,Hydrocharitaceae,Alismatales,plant,fresh
Egeria densa,,anacharis|elodea|egeria densa|brazilian waterweed,Hydrocharitaceae,Alismatales,plant,fresh
Elodea canadensis,,canadian waterweed|elodea canadensis,Hydrocharitaceae,Alismatales,plant,fresh
Najas guadalupensis,,guppy grass|najas|najas guadalupensis,Hydrocharitaceae,Alismatales,plant,fresh
Limnobium laevigatum,,amazon frogbit|frogbit|limnobium laevigatum,Hydrocharitaceae,Alismatales,plant,fresh
Hygrophila polysperma,,dwarf hygro|hygrophila polysperma|dwarf hygrophila|sunset hygro,Acanthaceae,Lamiales,plant,fresh
Hygrophila difformis,,water wisteria|hygrophila difformis|wisteria,Acanthaceae,Lamiales,plant,fresh
Hygrophila corymbosa,,temple plant|hygrophila corymbosa|giant hygro,Acanthaceae,Lamiales,plant,fresh
Hygrophila pinnatifida,,hygrophila pinnatifida|pinnatifida,Acanthaceae,Lamiales,plant,fresh
Staurogyne repens,,staurogyne repens|staurogyne|s repens,Acanthaceae,Lamiales,plant,fresh
Rotala rotundifolia,,rotala rotundifolia|rotala|rotala green|rotala hra,Lythraceae,Myrtales,plant,fresh
Rotala indica,,rotala indica,Lythraceae,Myrtales,plant,fresh
Rotala macrandra,,rotala macrandra|giant red rotala,Lythraceae,Myrtales,plant,fresh
Rotala wallichii,,rotala wallichii,Lythraceae,Myrtales,plant,fresh
Ammannia gracilis,,ammannia gracilis|red ammannia,Lythraceae,Myrtales,plant,fresh
Ammannia senegalensis,,ammannia senegalensis,Lythraceae,Myrtales,plant,fresh
Didiplis diandra,,water hedge|didiplis diandra,Lythraceae,Myrtales,plant,fresh
Ludwigia repens,,ludwigia repens|ludwigia|red ludwigia,Onagraceae,Myrtales,plant,fresh
Ludwigia palustris,,ludwigia palustris|water purslane,Onagraceae,Myrtales,plant,fresh
Ludwigia arcuata,,ludwigia arcuata|needle leaf ludwigia,Onagraceae,Myrtales,plant,fresh
Ludwigia glandulosa,,ludwigia glandulosa|peruensis,Onagraceae,Myrtales,plant,fresh
Ludwigia inclinata,,ludwigia inclinata|cuba ludwigia,Onagraceae,Myrtales,plant,fresh
Bacopa caroliniana,,bacopa|bacopa caroliniana|lemon bacopa,Plantaginaceae,Lamiales,plant,fresh
Bacopa monnieri,,moneywort|bacopa monnieri|brahmi,Plantaginaceae,Lamiales,plant,fresh
Limnophila sessiliflora,,ambulia|limnophila sessiliflora|dwarf ambulia,Plantaginaceae,Lamiales,plant,fresh
Limnophila aromatica,,limnophila aromatica|rice paddy herb,Plantaginaceae,Lamiales,plant,fresh
Micranthemum umbrosum,,pearl grass|micranthemum umbrosum|giant baby tears,Linderniaceae,Lamiales,plant,fresh
Micranthemum tweediei,,monte carlo|micranthemum tweediei|mc,Linderniaceae,Lamiales,plant,fresh
Micranthemum callitrichoides,,dwarf baby tears|hc cuba|hemianthus callitrichoides|hc,Linderniaceae,Lamiales,plant,fresh
Micranthemum micranthemoides,,pearlweed|micranthemum micranthemoides,Linderniaceae,Lamiales,plant,fresh
Pogostemon helferi,,downoi|pogostemon helferi,Lamiaceae,Lamiales,plant,fresh
Pogostemon stellatus,,pogostemon stellatus|eusteralis stellata,Lamiaceae,Lamiales,plant,fresh
Pogostemon erectus,,pogostemon erectus,Lamiaceae,Lamiales,plant,fresh
Alternanthera reineckii,,alternanthera reineckii|ar|scarlet temple|alternanthera,Amaranthaceae,Caryophyllales,plant,fresh
Alternanthera reineckii,Mini,ar mini|alternanthera reineckii mini,Amaranthaceae,Caryophyllales,plant,fresh
Alternanthera reineckii,Rosanervig,ar rosanervig|pink rosanervig,Amaranthaceae,Caryophyllales,plant,fresh
Myriophyllum aquaticum,,parrot feather|myriophyllum aquaticum,Haloragaceae,Saxifragales,plant,fresh
Myriophyllum mattogrossense,,myriophyllum mattogrossense|red myrio|green myrio,Haloragaceae,Saxifragales,plant,fresh
Cabomba caroliniana,,cabomba|green cabomba|cabomba caroliniana|fanwort,Cabombaceae,Nymphaeales,plant,fresh
Cabomba furcata,,red cabomba|cabomba furcata|purple cabomba,Cabombaceae,Nymphaeales,plant,fresh
Ceratophyllum demersum,,hornwort|ceratophyllum demersum|coontail,Ceratophyllaceae,Ceratophyllales,plant,fresh
Nymphaea lotus,,tiger lotus|nymphaea lotus|red tiger lotus|dwarf lily,Nymphaeaceae,Nymphaeales,plant,fresh
Barclaya longifolia,,barclaya longifolia|orchid lily,Nymphaeaceae,Nymphaeales,plant,fresh
Nymphoides aquatica,,banana plant|nymphoides aquatica|banana lily,Menyanthaceae,Asterales,plant,fresh
Nymphoides hydrophylla,,taiwan lily|nymphoides hydrophylla|nymphoides taiwan,Menyanthaceae,Asterales,plant,fresh
Aponogeton crispus,,aponogeton crispus|crinkled aponogeton,Aponogetonaceae,Alismatales,plant,fresh
Aponogeton madagascariensis,,madagascar lace|aponogeton madagascariensis|lace plant,Aponogetonaceae,Alismatales,plant,fresh
Aponogeton ulvaceus,,aponogeton ulvaceus,Aponogetonaceae,Alismatales,plant,fresh
Aponogeton boivinianus,,aponogeton boivinianus,Aponogetonaceae,Alismatales,plant,fresh
Heteranthera zosterifolia,,stargrass|heteranthera zosterifolia|water stargrass,Pontederiaceae,Commelinales,plant,fresh
Pontederia crassipes,,water hyacinth|eichhornia crassipes|pontederia crassipes,Pontederiaceae,Commelinales,plant,fresh
Pistia stratiotes,,water lettuce|pistia stratiotes,Araceae,Alismatales,plant,fresh
Lemna minor,,duckweed|lemna minor|common duckweed,Araceae,Alismatales,plant,fresh
Eleocharis parvula,,dwarf hairgrass|eleocharis parvula|hairgrass,Cyperaceae,Poales,plant,fresh
Eleocharis acicularis,,hairgrass|eleocharis acicularis|needle spikerush,Cyperaceae,Poales,plant,fresh
Cyperus helferi,,cyperus helferi,Cyperaceae,Poales,plant,fresh
Hydrocotyle leucocephala,,brazilian pennywort|hydrocotyle leucocephala|pennywort,Araliaceae,Apiales,plant,fresh
Hydrocotyle tripartita,,japan hydrocotyle|hydrocotyle tripartita|hydrocotyle japan,Araliaceae,Apiales,plant,fresh
Lilaeopsis brasiliensis,,micro sword|lilaeopsis brasiliensis|brazilian micro sword,Apiaceae,Apiales,plant,fresh
Cardamine lyrata,,japanese cress|cardamine lyrata,Brassicaceae,Brassicales,plant,fresh
Utricularia graminifolia,,utricularia graminifolia|ug,Lentibulariaceae,Lamiales,plant,fresh
Crinum calamistratum,,african onion plant|crinum calamistratum,Amaryllidaceae,Asparagales,plant,fresh
Crinum natans,,crinum natans|onion plant,Amaryllidaceae,Asparagales,plant,fresh
#
# ------------------------------------------------------------------------ plants: ferns, moss ---
Microsorum pteropus,,java fern|microsorum pteropus|leptochilus pteropus,Polypodiaceae,Polypodiales,plant,fresh
Microsorum pteropus,Narrow Leaf,narrow leaf java fern|narrow java fern,Polypodiaceae,Polypodiales,plant,fresh
Microsorum pteropus,Windelov,windelov java fern|windelov|lace java fern,Polypodiaceae,Polypodiales,plant,fresh
Microsorum pteropus,Trident,trident java fern|trident fern,Polypodiaceae,Polypodiales,plant,fresh
Microsorum pteropus,Needle Leaf,needle leaf java fern,Polypodiaceae,Polypodiales,plant,fresh
Bolbitis heudelotii,,african water fern|bolbitis|bolbitis heudelotii,Dryopteridaceae,Polypodiales,plant,fresh
Ceratopteris thalictroides,,water sprite|ceratopteris thalictroides|indian fern,Pteridaceae,Polypodiales,plant,fresh
Ceratopteris cornuta,,floating water sprite|ceratopteris cornuta,Pteridaceae,Polypodiales,plant,fresh
Marsilea hirsuta,,four leaf clover|marsilea hirsuta|dwarf four leaf clover,Marsileaceae,Salviniales,plant,fresh
Marsilea crenata,,marsilea crenata|water clover,Marsileaceae,Salviniales,plant,fresh
Salvinia natans,,floating fern|salvinia natans,Salviniaceae,Salviniales,plant,fresh
Salvinia minima,,water spangles|salvinia minima|salvinia,Salviniaceae,Salviniales,plant,fresh
Azolla filiculoides,,fairy moss|azolla|azolla filiculoides,Salviniaceae,Salviniales,plant,fresh
Taxiphyllum barbieri,,java moss|taxiphyllum barbieri,Hypnaceae,Hypnales,plant,fresh
# Flame moss is Taxiphyllum sp. 'Flame' -- an undescribed species, so the parent is the bare genus.
Taxiphyllum,,taxiphyllum|taxiphyllum moss,Hypnaceae,Hypnales,plant,fresh
Taxiphyllum,Flame,flame moss,Hypnaceae,Hypnales,plant,fresh
Vesicularia dubyana,,singapore moss|vesicularia dubyana,Hypnaceae,Hypnales,plant,fresh
Vesicularia montagnei,,christmas moss|xmas moss|vesicularia montagnei,Hypnaceae,Hypnales,plant,fresh
Fissidens fontanus,,phoenix moss|fissidens|fissidens fontanus,Fissidentaceae,Fissidentales,plant,fresh
Riccia fluitans,,riccia|crystalwort|riccia fluitans,Ricciaceae,Marchantiales,plant,fresh
Monosolenium tenerum,,pellia|monosolenium tenerum|round pellia,Monosoleniaceae,Marchantiales,plant,fresh
Aegagropila linnaei,,marimo moss ball|moss ball|marimo|cladophora,Pithophoraceae,Cladophorales,plant,fresh
#
# ------------------------------------------------------------------------- shrimp and crayfish ---
Neocaridina davidi,,cherry shrimp|red cherry shrimp|neocaridina|rcs|cherry shrimps|neos|dwarf shrimp,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Fire Red,fire red shrimp|fire red cherry shrimp|painted fire red,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Bloody Mary,bloody mary shrimp|bloody mary,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Blue Dream,blue dream shrimp|blue dream|blue dream neocaridina,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Blue Velvet,blue velvet shrimp|blue velvet,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Blue Jelly,blue jelly shrimp|blue jelly,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Green Jade,green jade shrimp|green jade|jade shrimp,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Chocolate,chocolate shrimp|chocolate neocaridina,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Orange Sakura,orange sakura shrimp|orange shrimp|sunkist shrimp,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Yellow Golden Back,yellow shrimp|golden back yellow shrimp|yellow neocaridina,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Snowball,snowball shrimp|white pearl shrimp,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Red Rili,red rili shrimp|red rili,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Blue Rili,blue rili shrimp|blue rili,Atyidae,Decapoda,invert,fresh
Neocaridina davidi,Carbon Rili,carbon rili shrimp|black rili shrimp,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,,bee shrimp|crystal shrimp|caridina|taiwan bee,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,Crystal Red,crystal red shrimp|crs|crystal reds,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,Crystal Black,crystal black shrimp|cbs|black crystal shrimp,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,Blue Bolt,blue bolt shrimp|blue bolt,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,King Kong Panda,king kong shrimp|panda shrimp|black king kong,Atyidae,Decapoda,invert,fresh
Caridina cantonensis,Wine Red,wine red shrimp|wine red,Atyidae,Decapoda,invert,fresh
Caridina multidentata,,amano shrimp|amano shrimps|yamato shrimp|caridina multidentata|caridina japonica,Atyidae,Decapoda,invert,fresh
Caridina mariae,,tiger shrimp|tangerine tiger shrimp|caridina mariae,Atyidae,Decapoda,invert,fresh
Caridina babaulti,,green shrimp|indian zebra shrimp|caridina babaulti,Atyidae,Decapoda,invert,fresh
Caridina dennerli,,cardinal shrimp|sulawesi cardinal shrimp|caridina dennerli,Atyidae,Decapoda,invert,fresh
Atyopsis moluccensis,,bamboo shrimp|wood shrimp|flower shrimp|singapore shrimp,Atyidae,Decapoda,invert,fresh
Atya gabonensis,,vampire shrimp|african filter shrimp|atya gabonensis,Atyidae,Decapoda,invert,fresh
Halocaridina rubra,,opae ula|hawaiian red shrimp|halocaridina rubra,Atyidae,Decapoda,invert,brackish
Palaemonetes paludosus,,ghost shrimp|glass shrimp|feeder shrimp|palaemonetes paludosus,Palaemonidae,Decapoda,invert,fresh
Cambarellus patzcuarensis,,dwarf orange crayfish|cpo|mexican dwarf crayfish|orange dwarf crayfish,Cambaridae,Decapoda,invert,fresh
Cambarellus shufeldtii,,cajun dwarf crayfish|cambarellus shufeldtii,Cambaridae,Decapoda,invert,fresh
Procambarus clarkii,,red swamp crayfish|procambarus clarkii|louisiana crawfish,Cambaridae,Decapoda,invert,fresh
Procambarus alleni,,electric blue crayfish|florida crayfish|procambarus alleni|blue crayfish,Cambaridae,Decapoda,invert,fresh
Cherax quadricarinatus,,australian redclaw|redclaw crayfish|cherax quadricarinatus,Parastacidae,Decapoda,invert,fresh
Geosesarma dennerle,,vampire crab|geosesarma|geosesarma dennerle,Sesarmidae,Decapoda,invert,fresh
#
# ---------------------------------------------------------------------------------------- snails ---
Neritina natalensis,,nerite snail|nerite snails|zebra nerite|neritina natalensis|nerites,Neritidae,Cycloneritida,invert,fresh
Clithon corona,,horned nerite snail|horned nerite|clithon corona,Neritidae,Cycloneritida,invert,fresh
Pomacea diffusa,,mystery snail|mystery snails|apple snail|pomacea diffusa|pomacea bridgesii,Ampullariidae,Architaenioglossa,invert,fresh
Pomacea canaliculata,,channeled apple snail|pomacea canaliculata,Ampullariidae,Architaenioglossa,invert,fresh
Marisa cornuarietis,,colombian ramshorn|giant ramshorn snail|marisa cornuarietis,Ampullariidae,Architaenioglossa,invert,fresh
Planorbella duryi,,ramshorn snail|ramshorn snails|red ramshorn|planorbella duryi|ramshorns,Planorbidae,Hygrophila,invert,fresh
Physella acuta,,bladder snail|pond snail|physella acuta|bladder snails,Physidae,Hygrophila,invert,fresh
Melanoides tuberculata,,malaysian trumpet snail|mts|trumpet snail|melanoides tuberculata,Thiaridae,Caenogastropoda,invert,fresh
Anentome helena,,assassin snail|assassin snails|anentome helena|clea helena,Nassariidae,Neogastropoda,invert,fresh
Tylomelania,,rabbit snail|rabbit snails|sulawesi snail|tylomelania,Pachychilidae,Caenogastropoda,invert,fresh
Lymnaea stagnalis,,great pond snail|lymnaea stagnalis,Lymnaeidae,Hygrophila,invert,fresh
#
# -------------------------------------------------------------------------- live food cultures ---
Daphnia magna,,daphnia|daphnia magna|water flea|water fleas,Daphniidae,Cladocera,culture,fresh
Daphnia pulex,,daphnia pulex|common water flea,Daphniidae,Cladocera,culture,fresh
Moina macrocopa,,moina|moina macrocopa|japanese water flea,Moinidae,Cladocera,culture,fresh
Artemia franciscana,,brine shrimp|baby brine shrimp|bbs|artemia|brine shrimp eggs,Artemiidae,Anostraca,culture,salt
Artemia salina,,brine shrimp|artemia salina|sea monkeys,Artemiidae,Anostraca,culture,salt
Lumbriculus variegatus,,blackworms|black worms|california blackworms|lumbriculus variegatus,Lumbriculidae,Lumbriculida,culture,fresh
Tubifex tubifex,,tubifex|tubifex worms|sludge worm,Naididae,Tubificida,culture,fresh
Enchytraeus buchholzi,,grindal worms|grindal|grindalworms,Enchytraeidae,Enchytraeida,culture,fresh
Enchytraeus albidus,,white worms|whiteworms|enchytraeus albidus,Enchytraeidae,Enchytraeida,culture,fresh
Panagrellus redivivus,,microworms|micro worms|panagrellus redivivus,Panagrolaimidae,Rhabditida,culture,fresh
Turbatrix aceti,,vinegar eels|vinegar eel|turbatrix aceti,Panagrolaimidae,Rhabditida,culture,fresh
Hyalella azteca,,scuds|scud|hyalella azteca|freshwater amphipod,Hyalellidae,Amphipoda,culture,fresh
Gammarus pulex,,gammarus|freshwater shrimp scud|gammarus pulex,Gammaridae,Amphipoda,culture,fresh
Paramecium caudatum,,paramecium|infusoria|paramecia,Parameciidae,Peniculida,culture,fresh
Brachionus plicatilis,,rotifers|rotifer|brachionus,Brachionidae,Ploima,culture,salt
Drosophila melanogaster,,fruit flies|wingless fruit flies|flightless fruit flies|drosophila,Drosophilidae,Diptera,culture,fresh
Drosophila hydei,,hydei fruit flies|large fruit flies|drosophila hydei,Drosophilidae,Diptera,culture,fresh
#
# ------------------------------------------------------------------------------- fish cultivars ---
# Parents come from FishBase; a row here is skipped with a warning if its parent isn't loaded.
# Only strains the trade names consistently -- "fancy guppy" is not a strain, it is an adjective.
Poecilia reticulata,Full Red,full red guppy|full red guppies|frt guppy,,,fish,fresh
Poecilia reticulata,Albino Full Red,albino full red guppy|afr guppy,,,fish,fresh
Poecilia reticulata,Blue Grass,blue grass guppy|blue grass guppies,,,fish,fresh
Poecilia reticulata,Half Black,half black guppy|half black guppies|hb guppy,,,fish,fresh
Poecilia reticulata,Cobra,cobra guppy|cobra guppies,,,fish,fresh
Poecilia reticulata,Snakeskin,snakeskin guppy|snakeskin guppies,,,fish,fresh
Poecilia reticulata,Moscow Blue,moscow blue guppy|moscow guppy,,,fish,fresh
Poecilia reticulata,Koi,koi guppy|koi guppies,,,fish,fresh
Poecilia reticulata,Dumbo Ear,dumbo ear guppy|dumbo guppy|big ear guppy,,,fish,fresh
Poecilia reticulata,Tuxedo,tuxedo guppy|tuxedo guppies,,,fish,fresh
Betta splendens,Halfmoon,halfmoon betta|half moon betta|hm betta,,,fish,fresh
Betta splendens,Crowntail,crowntail betta|crown tail betta|ct betta,,,fish,fresh
Betta splendens,Plakat,plakat betta|plakat|pk betta,,,fish,fresh
Betta splendens,Veiltail,veiltail betta|veil tail betta|vt betta,,,fish,fresh
Betta splendens,Double Tail,double tail betta|dt betta,,,fish,fresh
Betta splendens,Dumbo Ear,dumbo ear betta|elephant ear betta,,,fish,fresh
Betta splendens,Koi,koi betta|galaxy koi betta|nemo betta,,,fish,fresh
Xiphophorus maculatus,Mickey Mouse,mickey mouse platy|mickey mouse platies,,,fish,fresh
Xiphophorus maculatus,Wagtail,wagtail platy|wag platy|wagtail platies,,,fish,fresh
Xiphophorus maculatus,Sunset,sunset platy|sunset platies,,,fish,fresh
Xiphophorus hellerii,Red Velvet,red velvet swordtail|red swordtail,,,fish,fresh
Xiphophorus hellerii,Pineapple,pineapple swordtail,,,fish,fresh
Xiphophorus hellerii,Lyretail,lyretail swordtail,,,fish,fresh
Poecilia sphenops,Black Molly,black molly|black mollies,,,fish,fresh
Poecilia sphenops,Dalmatian,dalmatian molly|dalmatian mollies,,,fish,fresh
Poecilia sphenops,Balloon,balloon molly|balloon mollies,,,fish,fresh
Poecilia latipinna,Lyretail,lyretail molly|lyretail sailfin molly,,,fish,fresh
Carassius auratus,Oranda,oranda|oranda goldfish|red cap oranda,,,fish,fresh
Carassius auratus,Ryukin,ryukin|ryukin goldfish,,,fish,fresh
Carassius auratus,Ranchu,ranchu|ranchu goldfish,,,fish,fresh
Carassius auratus,Shubunkin,shubunkin|shubunkin goldfish,,,fish,fresh
Carassius auratus,Comet,comet goldfish|comet,,,fish,fresh
Carassius auratus,Black Moor,black moor|black moor goldfish|moor,,,fish,fresh
Carassius auratus,Fantail,fantail goldfish|fantail,,,fish,fresh
Pterophyllum scalare,Koi,koi angelfish|koi angel,,,fish,fresh
Pterophyllum scalare,Marble,marble angelfish|marble angel,,,fish,fresh
Pterophyllum scalare,Zebra,zebra angelfish|zebra angel,,,fish,fresh
Pterophyllum scalare,Veil,veil angelfish|veiltail angelfish|veil angel,,,fish,fresh
Pterophyllum scalare,Platinum,platinum angelfish|platinum angel,,,fish,fresh
Pterophyllum scalare,Black Lace,black lace angelfish|black lace angel,,,fish,fresh
Ancistrus cirrhosus,Albino,albino bristlenose|albino bn pleco|albino bristlenose pleco,,,fish,fresh
Ancistrus cirrhosus,Longfin,longfin bristlenose|long fin bn pleco,,,fish,fresh
Ancistrus cirrhosus,Super Red,super red bristlenose|super red bn pleco,,,fish,fresh
Corydoras aeneus,Albino,albino cory|albino corydoras|albino cory catfish|albino cories,,,fish,fresh
Corydoras aeneus,Bronze,bronze cory|bronze corydoras|bronze cory catfish,,,fish,fresh
Danio rerio,Longfin,longfin zebra danio|long fin danio,,,fish,fresh
Danio rerio,Leopard,leopard danio|leopard danios,,,fish,fresh
Symphysodon aequifasciatus,Blue Diamond,blue diamond discus,,,fish,fresh
Symphysodon aequifasciatus,Pigeon Blood,pigeon blood discus,,,fish,fresh
Symphysodon aequifasciatus,Red Turquoise,red turquoise discus,,,fish,fresh
#
# ------------------------------------ names only: what the hobby calls fish FishBase already has ---
# Rows below add common names to a species another list owns.  Leave family/order/kind/habitat
# blank -- the owning list is the authority on those and the loader ignores them here.  This is
# where the trade's own vocabulary lives: FishBase is an ichthyology database and has no reason to
# know "yellow lab", and before this file could reach its rows there was no way to teach it one.
Labidochromis caeruleus,,yellow lab|electric yellow|electric yellow lab|yellow labidochromis,,,,
Carinotetraodon travancoricus,,pea puffer|dwarf puffer|indian dwarf puffer|pygmy puffer,,,,
Poecilia wingei,,endler|endlers livebearer|endler livebearer,,,,
Mikrogeophagus altispinosus,,bolivian ram|bolivian butterfly|bolivian butterfly ram,,,,
Mikrogeophagus ramirezi,,german blue ram|gbr|blue ram|german ram,,,,
Pterophyllum scalare,,angel|silver angel|silver angelfish|freshwater angel,,,,
Betta splendens,,betta|betta fish|siamese fighter,,,,
Corydoras panda,,panda cory|panda cory catfish,,,,
